,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,locally_defined,is_submittable_by_client,Reason
673675,51131,lightproc,0.3.3,lightproc,49987f9ea9a16f89,2018,235332992,84595138,75448822,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/lightproc-0.3.3/src/lightproc.rs,156,8,UnsafeBlockUserProvided,72479251,Unsafe,Rust,non-const,non-const,non-const,False,True,False,False,Sublassing
673680,51131,lightproc,0.3.3,lightproc,49987f9ea9a16f89,2018,235333019,84595164,75448845,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/lightproc-0.3.3/src/lightproc.rs,214,8,UnsafeBlockUserProvided,72479268,Unsafe,Rust,non-const,non-const,non-const,False,True,False,False,Sublassing
978798,88967,llvm-rs,0.2.1,llvm_rs,506e9f62678e7a29,2015,402011793,145134802,130038067,MacroBang,bin_op!,src/builder.rs,26,12,UnsafeBlockUserProvided,124943788,Unsafe,C,non-const,non-const,non-const,False,True,False,False,Callback
19195,644,lodepng,2.5.0,lodepng,a760c770fd887172,2018,3264445,1193813,1098111,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/lodepng-2.5.0/src/rustimpl.rs,2601,8,UnsafeBlockUserProvided,975552,Unsafe,C,non-const,non-const,non-const,False,True,False,True (unsafe),Callback
525924,33581,mammoth-setup,0.0.1,mammoth_setup,11b34f4e970beb33,2018,154493994,55090147,49307527,Root,{{root}},src/config/module.rs,205,27,UnsafeBlockUserProvided,47592068,Normal,C,non-const,non-const,non-const,False,True,False,False,FFI
74848,3787,map_in_place,0.1.0,map_in_place,fc70ab2e53393c4c,2015,18342869,6489528,5799774,MacroBang,sizes!,lib.rs,54,4,UnsafeBlockUserProvided,5448856,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,False,Callback
396155,22055,mini_gl_fb,0.7.0,mini_gl_fb,5292f5ddbb17de89,2015,99518033,35557939,31900332,Root,{{root}},src/core.rs,452,8,UnsafeBlockUserProvided,30853979,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
865986,72074,mlua,0.2.1,mlua,e76e2f2aa094f7bd,2018,325952423,117735702,105485095,Root,{{root}},src/userdata.rs,406,8,UnsafeBlockUserProvided,101130053,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,False,Callback
705505,53968,mond,0.1.0,mond,f0414be736520216,2015,248757818,89359904,79828250,Root,{{root}},src/wrapper/state.rs,880,8,UnsafeBlockUserProvided,76767236,Unsafe,C,non-const,non-const,non-const,False,True,False,True,Callback
406790,23770,moving_gc_arena,0.2.0,moving_gc_arena,8b4f0d2a293e3284,2018,106892899,38036840,34287679,Root,{{root}},src/lib.rs,518,32,UnsafeBlockUserProvided,33089858,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,True,False,Code reuse
819222,67481,mozjpeg,0.8.15,mozjpeg,a6c69c6a0d15f997,2018,306088857,110545927,99006563,Root,{{root}},src/errormgr.rs,19,8,UnsafeBlockUserProvided,94932905,Unsafe,C,non-const,non-const,non-const,False,True,False,True,Callback
