,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
826796,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[37]::as_ref[0],93ae02651ea309885c2e245277763766,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
843404,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[149]::gt[0],fc4c72483a0c492d60116c519fbd95af,rust_extra.arrays.implement_arrays.gt,borrow of packed field
843994,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[110]::ge[0],3f13450e2e5068729ed7136d0a150fde,rust_extra.arrays.implement_arrays.ge,borrow of packed field
861103,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[45]::partial_cmp[0],cb28bc2aa57b4e2ecbd99c89d171d9a,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
864740,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[61]::into_iter[0],cfba20c81ec512b4cd87a8541d338127,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
890023,minidump,e5761667c9fbc72f,minidump[cf38]::minidump[0]::{{impl}}[25]::print[0],6ee6c22e98483ac556b7bb620989374e,minidump.minidump.implement_minidump.print,borrow of packed field
893522,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[97]::partial_cmp[0],3ea20530dcaabf932cb8b3ebdd12b3c2,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
916424,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[68]::fmt[0],965e8f45c881747be637c901e7c015ab,rust_extra.arrays.implement_arrays.fmt,borrow of packed field
918424,libopencm3_sys,8eed6dfb20dbb611,libopencm3_sys[f827]::{{impl}}[5]::set_tUpperSamFreq[0],1a5a5a827902487bd652ebc44dbfe1ef,libopencm3_sys.implement_5.set_tUpperSamFreq,borrow of packed field
927903,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[13]::get_unchecked[0],82313a2df9063a2cddef7117d017ed38,rust_extra.arrays.implement_arrays.get_unchecked,borrow of packed field
929764,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[110]::partial_cmp[0],ff3e83cd89d3dc7d1bdec03118bdee1b,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
968446,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[13]::as_ptr[0],55e8de1f1b9a41c72122ba6489b7dfb9,rust_extra.arrays.implement_arrays.as_ptr,borrow of packed field
993574,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[141]::as_ref[0],38f51e0a1dd5fff4be7373591133fc2,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
995380,td_revent,b717125ba4fea66d,td_revent[5dfa]::sys[0]::unix[0]::epoll[0]::{{impl}}[2]::select[0],25a0eb9f47afef5639c0288660888bcb,td_revent.sys.unix.epoll.implement_epoll.select,borrow of packed field
1001371,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[133]::fmt[0],784a0cbd2076809b95ba5e269081d813,rust_extra.arrays.implement_arrays.fmt,borrow of packed field
1004555,pe,d772e081044817cc,pe[5631]::utility[0]::{{impl}}[37]::partial_cmp[0],22d7c9555ee838f1b8da6e35656021c,pe.utility.implement_utility.partial_cmp,borrow of packed field
1009662,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[123]::partial_cmp[0],49e8180c188c04661955a24cc2709ed7,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
1014630,redoxfs,4094856f57e40cfa,redoxfs[9edf]::header[0]::{{impl}}[1]::fmt[0],7724d6f10496c934fc9c5ee8e9a7e95a,redoxfs.header.implement_header.fmt,borrow of packed field
1049176,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[110]::gt[0],d3af0714aae29f658885193412557edd,rust_extra.arrays.implement_arrays.gt,borrow of packed field
