,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
426796,24652,hypernums,0.1.0,hypernums,74780c36db3d4dce,2015,110904456,39591813,35631474,MacroBang,impl_unsigned_conversions!,src/convert.rs,181,16,UnsafeBlockUserProvided,34386344,Normal,Rust,core,core[e667]::ops[0]::arith[0]::Mul[0]::mul[0],core.ops.arith.Mul.mul,True,True,False,False,False,True
404447,23548,http,0.2.0,http,43c195df6e676ceb,2018,105815716,37688919,33964409,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/http-0.2.0/src/header/map.rs,2631,28,UnsafeBlockUserProvided,32787855,Normal,Rust,core,core[e667]::ops[0]::index[0]::IndexMut[0]::index_mut[0],core.ops.index.IndexMut.index_mut,True,True,True,False,False,False
118911,4614,httpbis,0.7.0,httpbis,1cc1f24226e3b17a,2015,23073071,8186020,7281114,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/httpbis-0.7.0/src/ascii.rs,22,8,UnsafeBlockUserProvided,6921108,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
341786,15856,imgui-ext,0.3.0,imgui_ext,aa7b193370536e68,2018,72118991,25721085,22992223,MacroBang,imgui_slider_scalar!,src/macros.rs,87,16,UnsafeBlockUserProvided,22198641,Normal,Rust,imgui_ext,imgui_ext[8cfc]::slider[0]::Slider[0]::build[0],imgui_ext.slider.Slider.build,True,True,True,False,False,False
675162,51498,impromptu,0.0.1,impromptu,ebff32b2e6b9fae9,2018,236744854,85062528,75891302,Root,{{root}},src/user.rs,14,4,UnsafeBlockUserProvided,72900837,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True,True,True,False,False,False
408186,24000,imxrt1062-lpspi1,0.1.0,imxrt1062_lpspi1,4c4ebb0ae809d647,2018,107882655,38425062,34636296,Root,{{root}},src/cfgr1.rs,360,8,UnsafeBlockUserProvided,33394215,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True,True,True,False,False,False
825220,68424,imxrt1062-sai1,0.1.0,imxrt1062_sai1,a0290ed1dbd12103,2018,309879777,111991879,100341905,Root,{{root}},src/tcr2.rs,467,8,UnsafeBlockUserProvided,96175934,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True,True,True,False,False,False
734752,58333,imxrt1062-wdog1,0.1.0,imxrt1062_wdog1,b51bad964d6715fe,2018,265993730,95719691,85681242,Root,{{root}},src/wcr.rs,684,8,UnsafeBlockUserProvided,82305248,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True,True,True,False,False,False
897693,77770,insert_many,0.1.1,insert_many,dfee687a988939ae,2015,351490554,126830549,113545026,MacroBang,impl_veclike!,src/lib.rs,37,8,UnsafeBlockUserProvided,108982635,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True,True,True,False,False,False
601980,43013,javelin,0.3.7,javelin,75ab0a7cf26f9def,2018,198757348,71202433,63520994,MacroBang,crate_authors!,<::clap::macros::crate_authors macros>,12,47,UnsafeBlockUserProvided,61341560,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True,True,True,False,False,False
